iter	Passed	Remaining
0	103	103005
1	104	52044
2	105	34903
3	106	26397
4	106	21233
5	107	17781
6	108	15344
7	108	13497
8	109	12065
9	110	10915
10	110	9970
11	111	9181
12	112	8516
13	113	7958
14	113	7465
15	114	7031
16	115	6649
17	115	6306
18	116	6009
19	117	5738
20	117	5499
21	118	5271
22	119	5066
23	119	4878
24	120	4702
25	121	4547
26	121	4396
27	122	4256
28	123	4126
29	124	4015
30	125	3922
31	126	3822
32	127	3725
33	127	3633
34	128	3545
35	129	3460
36	129	3380
37	130	3305
38	131	3233
39	131	3167
40	133	3111
41	133	3049
42	134	2991
43	135	2934
44	135	2882
45	136	2839
46	137	2789
47	138	2740
48	138	2693
49	139	2650
50	140	2607
51	141	2574
52	141	2535
53	142	2497
54	143	2462
55	144	2428
56	144	2394
57	145	2362
58	146	2330
59	146	2301
60	147	2270
61	148	2241
62	148	2214
63	150	2196
64	151	2172
65	151	2146
66	152	2122
67	153	2100
68	154	2079
69	155	2061
70	155	2039
71	156	2016
72	158	2006
73	158	1985
74	159	1966
75	160	1947
76	160	1928
77	161	1908
78	162	1890
79	162	1872
80	163	1855
81	164	1837
82	164	1817
83	165	1802
84	166	1787
85	166	1773
86	167	1759
87	168	1744
88	168	1729
89	169	1714
90	170	1700
91	170	1687
92	171	1674
93	172	1660
94	172	1647
95	174	1638
96	174	1626
97	175	1615
98	176	1602
99	176	1590
100	177	1578
101	177	1566
102	178	1555
103	179	1543
104	180	1535
105	180	1525
106	181	1514
107	182	1504
108	182	1493
109	183	1483
110	184	1474
111	184	1464
112	185	1455
113	186	1446
114	186	1438
115	187	1429
116	187	1418
117	188	1409
118	189	1400
119	189	1391
120	190	1383
121	190	1373
122	191	1366
123	192	1358
124	193	1352
125	193	1344
126	194	1336
127	195	1328
128	195	1321
129	196	1314
130	197	1308
131	198	1303
132	198	1296
133	199	1289
134	200	1282
135	200	1276
136	201	1270
137	202	1263
138	203	1257
139	203	1250
140	204	1245
141	204	1238
142	205	1233
143	206	1228
144	207	1222
145	208	1216
146	208	1210
147	209	1204
148	209	1198
149	210	1193
150	211	1188
151	212	1183
152	212	1177
153	213	1172
154	213	1166
155	214	1161
156	215	1156
157	216	1151
158	216	1147
159	217	1142
160	218	1136
161	218	1131
162	219	1126
163	219	1121
164	220	1116
165	221	1111
166	221	1106
167	222	1102
168	223	1099
169	224	1095
170	224	1090
171	225	1085
172	226	1081
173	226	1076
174	227	1072
175	228	1067
176	229	1068
177	230	1064
178	231	1061
179	232	1056
180	232	1052
181	233	1048
182	233	1044
183	234	1040
184	235	1038
185	236	1035
186	237	1034
187	238	1030
188	239	1026
189	239	1022
190	240	1019
191	241	1016
192	242	1013
193	244	1014
194	244	1010
195	245	1007
196	246	1004
197	247	1001
198	248	998
199	248	994
200	249	991
201	250	988
202	250	984
203	251	981
204	252	977
205	252	974
206	253	970
207	254	968
208	255	966
209	256	963
210	256	960
211	257	956
212	258	953
213	258	950
214	259	947
215	260	944
216	260	941
217	261	938
218	262	935
219	262	932
220	263	930
221	264	927
222	265	925
223	266	922
224	267	919
225	267	916
226	268	914
227	269	911
228	269	908
229	270	905
230	271	902
231	271	899
232	272	897
233	273	895
234	274	892
235	275	890
236	275	887
237	276	885
238	277	882
239	277	879
240	278	876
241	279	874
242	279	872
243	280	869
244	281	867
245	282	864
246	282	862
247	283	859
248	284	857
249	284	854
250	286	853
251	286	851
252	287	848
253	288	846
254	288	843
255	289	840
256	290	839
257	291	837
258	292	835
259	292	833
260	293	830
261	294	828
262	294	825
263	295	823
264	296	821
265	296	819
266	297	817
267	298	815
268	299	812
269	299	810
270	300	808
271	301	806
272	302	804
273	302	802
274	303	800
275	304	797
276	304	795
277	305	793
278	306	790
279	306	788
280	307	787
281	308	785
282	309	784
283	310	782
284	311	781
285	312	779
286	313	777
287	313	776
288	314	774
289	315	772
290	316	772
291	317	770
292	318	768
293	319	766
294	320	765
295	321	764
296	321	761
297	322	760
298	323	758
299	324	756
300	325	755
301	325	753
302	326	751
303	327	749
304	328	747
305	328	745
306	329	743
307	330	741
308	330	739
309	331	738
310	332	737
311	333	735
312	334	734
313	335	732
314	335	730
315	336	728
316	337	726
317	338	725
318	338	723
319	339	721
320	340	720
321	341	719
322	342	717
323	343	716
324	344	715
325	345	713
326	346	712
327	346	710
328	348	709
329	348	708
330	349	706
331	350	704
332	350	703
333	351	701
334	352	700
335	353	699
336	354	697
337	355	696
338	356	694
339	356	692
340	357	691
341	358	689
342	359	687
343	359	686
344	360	684
345	361	682
346	361	680
347	362	679
348	363	677
349	364	676
350	364	674
351	365	672
352	366	670
353	366	669
354	367	667
355	368	665
356	368	663
357	369	662
358	370	661
359	370	659
360	371	657
361	372	656
362	373	654
363	373	652
364	374	651
365	375	649
366	375	647
367	376	646
368	377	644
369	377	643
370	378	641
371	379	640
372	379	638
373	380	636
374	381	635
375	382	634
376	382	632
377	383	630
378	384	629
379	384	627
380	385	626
381	386	624
382	386	623
383	387	621
384	388	620
385	388	618
386	389	617
